TMP,HUM,C02,V_ST,Time,D_N
28.28,61.95,2,100%,Fri Oct 21 16:11:09 2022,157
28.4,64.36,2,100%,Fri Oct 21 16:11:19 2022,158
28.49,66.15,2,100%,Fri Oct 21 16:11:29 2022,159
28.59,67.51,2,100%,Fri Oct 21 16:11:39 2022,160
28.66,68.76,2,100%,Fri Oct 21 16:11:49 2022,161
22.8,59.23,2,100%,Fri Oct 21 16:54:44 2022,161
22.85,59.16,2,100%,Fri Oct 21 16:54:54 2022,162
22.99,58.24,2,100%,Fri Oct 21 16:55:24 2022,163
23.05,58.19,2,100%,Fri Oct 21 16:55:34 2022,164
23.1,58.02,2,100%,Fri Oct 21 16:55:44 2022,165
23.14,57.97,2,100%,Fri Oct 21 16:55:54 2022,166
23.2,57.95,2,100%,Fri Oct 21 16:56:04 2022,167
23.21,57.32,2,100%,Fri Oct 21 16:56:14 2022,168
23.26,57.44,2,100%,Fri Oct 21 16:56:24 2022,169
23.3,57.44,2,100%,Fri Oct 21 16:56:34 2022,170
23.33,57.44,2,100%,Fri Oct 21 16:56:44 2022,171
23.38,57.25,2,100%,Fri Oct 21 16:56:54 2022,172
23.4,56.89,2,100%,Fri Oct 21 16:57:04 2022,173
23.45,56.94,2,100%,Fri Oct 21 16:57:14 2022,174
23.48,56.81,2,100%,Fri Oct 21 16:57:24 2022,175
23.51,56.64,2,100%,Fri Oct 21 16:57:34 2022,176
23.54,56.72,2,100%,Fri Oct 21 16:57:45 2022,177
23.57,56.69,2,100%,Fri Oct 21 16:57:55 2022,178
23.59,56.62,2,100%,Fri Oct 21 16:58:05 2022,179
23.62,56.67,2,100%,Fri Oct 21 16:58:15 2022,180
23.65,56.67,2,100%,Fri Oct 21 16:58:25 2022,181
23.68,56.5,2,100%,Fri Oct 21 16:58:35 2022,182
23.69,56.4,2,100%,Fri Oct 21 16:58:45 2022,183
23.72,56.33,2,100%,Fri Oct 21 16:58:55 2022,184
23.75,56.33,2,100%,Fri Oct 21 16:59:05 2022,185
23.75,55.84,2,100%,Fri Oct 21 16:59:15 2022,186
23.78,55.79,2,100%,Fri Oct 21 16:59:25 2022,187
23.79,55.96,2,100%,Fri Oct 21 16:59:35 2022,188
23.79,56.11,2,100%,Fri Oct 21 16:59:45 2022,189
23.82,56.06,2,100%,Fri Oct 21 16:59:55 2022,190
23.83,55.99,2,100%,Fri Oct 21 17:00:05 2022,191
23.86,55.99,2,100%,Fri Oct 21 17:00:15 2022,192
23.88,55.89,2,100%,Fri Oct 21 17:00:25 2022,193
23.89,55.79,2,100%,Fri Oct 21 17:00:35 2022,194
23.92,55.65,2,100%,Fri Oct 21 17:00:45 2022,195
23.9,55.75,2,100%,Fri Oct 21 17:00:55 2022,196
23.93,55.62,2,100%,Fri Oct 21 17:01:06 2022,197
23.96,55.57,2,100%,Fri Oct 21 17:01:16 2022,198
23.96,55.48,2,100%,Fri Oct 21 17:01:26 2022,199
23.96,55.31,2,100%,Fri Oct 21 17:01:36 2022,200
23.97,55.21,2,100%,Fri Oct 21 17:01:46 2022,201
23.97,55.29,2,100%,Fri Oct 21 17:01:56 2022,202
24,55.24,2,100%,Fri Oct 21 17:02:06 2022,203
24,55.04,2,100%,Fri Oct 21 17:02:16 2022,204
23.99,55.07,2,100%,Fri Oct 21 17:02:26 2022,205
24.02,55.14,2,100%,Fri Oct 21 17:02:36 2022,206
24.03,55.09,2,100%,Fri Oct 21 17:02:46 2022,207
24.02,54.95,2,100%,Fri Oct 21 17:02:56 2022,208
24.02,54.95,2,100%,Fri Oct 21 17:03:06 2022,209
24.04,54.92,2,100%,Fri Oct 21 17:03:16 2022,210
24.04,55.07,2,100%,Fri Oct 21 17:03:26 2022,211
24.04,54.99,2,100%,Fri Oct 21 17:03:36 2022,212
24.04,55.07,2,100%,Fri Oct 21 17:03:46 2022,213
24.06,54.99,2,100%,Fri Oct 21 17:03:56 2022,214
24.03,54.75,2,100%,Fri Oct 21 17:04:06 2022,215
24.04,54.9,2,100%,Fri Oct 21 17:04:16 2022,216
24.06,54.99,2,100%,Fri Oct 21 17:04:27 2022,217
24.07,54.92,2,100%,Fri Oct 21 17:04:37 2022,218
24.07,54.9,2,100%,Fri Oct 21 17:04:47 2022,219
24.07,54.8,2,100%,Fri Oct 21 17:04:57 2022,220
24.09,54.68,2,100%,Fri Oct 21 17:05:07 2022,221
24.1,54.75,2,100%,Fri Oct 21 17:05:17 2022,222
24.11,54.55,2,100%,Fri Oct 21 17:05:27 2022,223
24.11,54.58,2,100%,Fri Oct 21 17:05:37 2022,224
24.13,54.58,2,100%,Fri Oct 21 17:05:47 2022,225
24.11,54.51,2,100%,Fri Oct 21 17:05:57 2022,226
24.11,54.19,2,100%,Fri Oct 21 17:06:07 2022,227
24.11,54.15,2,100%,Fri Oct 21 17:06:17 2022,228
24.13,54.37,2,100%,Fri Oct 21 17:06:27 2022,229
24.11,54.27,2,100%,Fri Oct 21 17:06:37 2022,230
24.14,54.46,2,100%,Fri Oct 21 17:06:47 2022,231
24.14,54.55,2,100%,Fri Oct 21 17:06:57 2022,232
24.13,54.63,2,100%,Fri Oct 21 17:07:07 2022,233
24.16,54.73,2,100%,Fri Oct 21 17:07:17 2022,234
24.09,54.92,2,100%,Fri Oct 21 17:07:27 2022,235
24.1,55.39,2,100%,Fri Oct 21 17:07:37 2022,236
24.49,74.63,2,100%,Fri Oct 21 17:07:47 2022,237
26.12,100,2,100%,Fri Oct 21 17:07:58 2022,238
26.94,100,2,100%,Fri Oct 21 17:08:08 2022,239
26.16,74.79,2,100%,Fri Oct 21 17:08:18 2022,240
26.13,58.1,2,100%,Fri Oct 21 17:08:28 2022,241
